platform,category,contest_id,contest_title,year,start_epoch_second,problem_id,problem_index,problem_name,problem_title,difficulty,solver_count,ai_tags,ai_tag_count,problem_url,difficulty_100,clean_text_len,clean_text,acceptance_rate
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_a,A,Large Digits,A. Large Digits,-1172.0,18393,"['implementation', 'math', 'string', 'digit sum']",4,https://atcoder.jp/contests/abc187/tasks/abc187_a,4.395,274.0,"配点 : 100 点 問題文 整数 n に対して、 n を十進法で表したときの各桁の和を S(n) で表すことにします。 例えば、 S(123) = 1 + 2 + 3 = 6 です。 2 つの 3 桁の整数 A, B が与えられます。 S(A) と S(B) のうち大きい方の値を求めてください。 制約 入力は全て整数 100 \le A, B \le 999 入力 入力は以下の形式で標準入力から与えられる。 A B 出力 S(A) と S(B) のうち大きい方の値を出力せよ。 S(A) と S(B) が等しい場合は、 S(A) を出力せよ。",
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_b,B,Gentle Pairs,B. Gentle Pairs,-311.0,14174,"['geometry', 'brute force', 'implementation', 'slope']",4,https://atcoder.jp/contests/abc187/tasks/abc187_b,19.411,317.0,"配点 : 200 点 問題文 xy 平面上に 1, 2, \dots, N の番号が付けられた N 個の点があります。点 i は (x_i, y_i) にあり、 N 個の点の x 座標は互いに異なります。 以下の条件を満たす整数の組 (i, j)\ (i < j) の個数を求めてください。 点 i と点 j を通る直線の傾きが -1 以上 1 以下である。 制約 入力は全て整数 1 \le N \le 10^3 |x_i|, |y_i| \le 10^3 i \neq j ならば x_i \neq x_j 入力 入力は以下の形式で標準入力から与えられる。 N x_1 y_1 \vdots x_N y_N 出力 答えを出力せよ。",
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_c,C,1-SAT,C. 1-SAT,137.0,12958,"['string', 'hash set', 'set']",3,https://atcoder.jp/contests/abc187/tasks/abc187_c,27.224,434.0,"配点 : 300 点 問題文 N 個の文字列 S_1, S_2, \dots, S_N が与えられます。 各文字列は、英小文字からなる空でない文字列の先頭に ! を 0 文字か 1 文字付加したものです。 文字列 T は、 T の先頭に ! を 0 文字付加しても 1 文字付加しても S_1, S_2, \dots, S_N のいずれかに一致するとき、不満な文字列であるといいます。 不満な文字列があるかどうか判定し、あれば 1 つ示してください。 制約 1 \le N \le 2 \times 10^5 1 \le |S_i| \le 10 S_i は英小文字からなる空でない文字列の先頭に ! を 0 文字か 1 文字付加したものである。 入力 入力は以下の形式で標準入力から与えられる。 N S_1 \vdots S_N 出力 不満な文字列が存在する場合、不満な文字列を 1 つ出力せよ。 不満な文字列が存在しない場合、 satisfiable と出力せよ。",
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_d,D,Choose Me,D. Choose Me,650.0,10932,"['greedy', 'sorting', 'math']",3,https://atcoder.jp/contests/abc187/tasks/abc187_d,36.17,411.0,"配点 : 400 点 問題文 AtCoder 市で市長選挙が行われます。候補者は青木氏と高橋氏です。 市には N 個の町があり、 i 番目の町には青木派の有権者が A_i 人、高橋派の有権者が B_i 人います。他に有権者はいません。 高橋氏は、それぞれの町で演説を行うことができます。 高橋氏がある町で演説を行った場合、その町の高橋派も青木派も全員高橋氏に投票します。 一方、高橋氏がある町で演説を行わなかった場合、その町の青木派は全員青木氏に投票し、高橋派は投票に行きません。 高橋氏が青木氏より多く票を獲得するためには、最小でいくつの町で演説をする必要があるでしょうか？ 制約 入力は全て整数 1 \le N \le 2 \times 10^5 1 \le A_i, B_i \le 10^9 入力 入力は以下の形式で標準入力から与えられる。 N A_1 B_1 \vdots A_N B_N 出力 答えを出力せよ。",
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_e,E,Through Path,E. Through Path,1358.0,5285,"['tree', 'dp on trees', 'dfs', 'difference array', 'prefix sum', 'rooted tree']",6,https://atcoder.jp/contests/abc187/tasks/abc187_e,48.518,776.0,"配点 : 500 点 問題文 N 頂点 N-1 辺から成る木があり、頂点には 1, 2, \dots, N の番号が、辺には 1, 2, \dots, N-1 の番号がついています。辺 i は頂点 a_i と頂点 b_i を結びます。 この木の各頂点には 1 つの整数が書かれています。頂点 i に書かれている整数を c_i とします。はじめ、 c_i = 0 です。 Q 個のクエリが与えられます。 i 番目のクエリでは、整数 t_i, e_i, x_i が与えられます。クエリの内容は以下の通りです。 t_i = 1 のとき : 頂点 a_{e_i} から辺をたどって頂点 b_{e_i} を通らずに到達できるような全ての頂点 v に対して、 c_v を c_v + x_i に書き換える。 t_i = 2 のとき : 頂点 b_{e_i} から辺をたどって頂点 a_{e_i} を通らずに到達できるような全ての頂点 v に対して、 c_v を c_v + x_i に書き換える。 すべてのクエリを処理した後、各頂点に書かれた整数を出力してください。 制約 入力は全て整数 2 \le N \le 2 \times 10^5 1 \le a_i, b_i \le N 与えられるグラフは木である 1 \le Q \le 2 \times 10^5 t_i \in \{1, 2\} 1 \le e_i \le N-1 1 \le x_i \le 10^9 入力 入力は以下の形式で標準入力から与えられる。 N a_1 b_1 \vdots a_{N-1} b_{N-1} Q t_1 e_1 x_1 \vdots t_Q e_Q x_Q 出力 すべてのクエリを処理した後の c_1, c_2, \dots, c_N をこの順に改行区切りで出力せよ。",
atcoder,abc,abc187,AtCoder Beginner Contest 187,2021,1609588800,abc187_f,F,Close Group,F. Close Group,1895.0,3472,"['dp', 'bitmask dp', 'subset', 'graph theory', 'clique', 'complement graph', 'graph coloring']",7,https://atcoder.jp/contests/abc187/tasks/abc187_f,57.883,446.0,"配点 : 600 点 問題文 N 頂点 M 辺の単純無向グラフが与えられます。 このグラフの頂点には 1, 2, \dots, N の番号が付けられており、 i 番目の辺は頂点 A_i と頂点 B_i を結びます。 以下の条件を満たすように辺を 0 本以上取り除いたときの、グラフの連結成分の個数としてあり得る最小値を求めてください。 条件 1 \le a < b \le N を満たす任意の頂点の組 (a, b) について、 頂点 a と頂点 b が同じ連結成分に属するならば、頂点 a と頂点 b を直接結ぶ辺が存在する。 制約 入力は全て整数 1 \le N \le 18 0 \le M \le \frac{N(N - 1)}{2} 1 \le A_i < B_i \le N i \neq j ならば (A_i, B_i) \neq (A_j, B_j) 入力 入力は以下の形式で標準入力から与えられる。 N M A_1 B_1 \vdots A_M B_M 出力 答えを出力せよ。",
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_a,A,Three-Point Shot,A. Three-Point Shot,-1177.0,18589,"['ad hoc', 'math', 'conditional', 'comparison']",4,https://atcoder.jp/contests/abc188/tasks/abc188_a,4.308,347.0,"配点 : 100 点 問題文 バスケットボールの試合が行われており、現在の両チームの得点は X 対 Y です。ここで X \neq Y であることが保証されます。 現在劣勢であるチームが、 3 ポイントシュートを一本成功させて優勢に立つことはできますか？ つまり、現在得点が低い側のチームが 3 点を得た場合、そのチームの得点が他方のチームの得点より真に高くなるかを判定してください。 制約 0 \le X \le 100 0 \le Y \le 100 X \neq Y X, Y は整数である 入力 入力は以下の形式で標準入力から与えられる。 X Y 出力 現在劣勢であるチームが 3 ポイントシュートを一本成功させて優勢に立つことができるなら Yes を、できないなら No を出力せよ。",
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_b,B,Orthogonality,B. Orthogonality,-913.0,18691,"['dot product', 'array', 'implementation', 'linear algebra']",4,https://atcoder.jp/contests/abc188/tasks/abc188_b,8.912,395.0,"配点 : 200 点 問題文 2 つの N 次元ベクトル A = (A_1, A_2, A_3, \dots, A_N), B = (B_1, B_2, B_3, \dots, B_N) が与えられます。 A と B の内積が 0 かどうかを判定してください。 すなわち、 A_1B_1 + A_2B_2 + A_3B_3 + \dots + A_NB_N = 0 かどうかを判定してください。 制約 1 \le N \le 100000 -100 \le A_i \le 100 -100 \le B_i \le 100 入力に含まれる値は全て整数である 入力 入力は以下の形式で標準入力から与えられる。 N A_1 A_2 A_3 \dots A_N B_1 B_2 B_3 \dots B_N 出力 A と B の内積が 0 ならば Yes を、 0 でないならば No を出力せよ。",
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_c,C,ABC Tournament,C. ABC Tournament,-83.0,13853,"['simulation', 'tournament', 'search']",3,https://atcoder.jp/contests/abc188/tasks/abc188_c,23.387,496.0,"配点 : 300 点 問題文 選手 1 から選手 2^N までの 2^N 人の選手がトーナメント形式のプログラミング対決をします。 選手 i のレートは A_i です。どの 2 人の選手のレートも異なり、 2 人の選手が対戦すると常にレートが高い方が勝ちます。 トーナメント表は完全二分木の形をしています。 より正確には、このトーナメントは以下の要領で行われます。 i = 1, 2, 3, \dots, N について順に、以下のことが行われる。 各整数 j (1 \le j \le 2^{N - i}) について、まだ負けたことのない選手のうち、 2j - 1 番目に番号の小さい選手と 2j 番目に番号の小さい選手が対戦する。 準優勝 する、すなわち最後に行われる対戦において負ける選手の番号を求めてください。 制約 1 \le N \le 16 1 \le A_i \le 10^9 A_i は相異なる 入力に含まれる値は全て整数である 入力 入力は以下の形式で標準入力から与えられる。 N A_1 A_2 A_3 \dots A_{2^N} 出力 準優勝 する選手の番号を出力せよ。",
atcoder,abc,abc188,AtCoder Beginner Contest 188,2021,1610280000,abc188_d,D,Snuke Prime,D. Snuke Prime,933.0,8728,"['plane sweep', 'coordinate compression', 'event processing', 'prefix sum', 'interval']",5,https://atcoder.jp/contests/abc188/tasks/abc188_d,41.106,600.0,配点 : 400 点 問題文 株式会社すぬけは様々なサービスを提供しています。 この会社は、すぬけプライムという支払いプランを用意しています。 すぬけプライムへの加入中は、 1 日あたり C 円を支払うことで、提供される全てのサービスを追加料金の支払いなしに利用することができます。 すぬけプライムへの加入および脱退は、それぞれ 1 日の始めおよび終わりに自由に行うことができます。 高橋くんは、この会社のサービスのうち N 個を利用しようとしています。 そのうち i 個目のサービスは、今日を 1 日目として、 a_i 日目の始めから b_i 日目の終わりまで利用する予定です。 すぬけプライムに加入していない期間中は、 i 個目のサービスを利用する際に 1 日あたり c_i 円を支払う必要があります。 サービスを利用するために高橋くんが支払う必要のある最小の合計金額を求めてください。 制約 1 \leq N \leq 2 \times 10^5 1 \leq C \leq 10^9 1 \leq a_i \leq b_i \leq 10^9 1 \leq c_i \leq 10^9 入力に含まれる値は全て整数 入力 入力は以下の形式で標準入力から与えられる。 N C a_1 b_1 c_1 \vdots a_N b_N c_N 出力 高橋くんが支払う必要のある最小の合計金額を出力せよ。,
