platform,category,assessment_type,sponsor,contest_id,contest_title,year,start_date,start_epoch_second,period,problem_id,problem_index,problem_name,problem_title,difficulty,solver_count,ai_tags,ai_tag_count,problem_url,source_url,parser_version,statement_lang,crawl_time,difficulty_100,clean_text_len,clean_text,contest_points,acceptance_rate
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_a,A,Health M Death,A. Health M Death,-1321.0,17162,"['divisibility', 'modular arithmetic', 'implementation']",3,https://atcoder.jp/contests/abc195/tasks/abc195_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,1.993,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_b,B,Many Oranges,B. Many Oranges,483.0,11973,"['math', 'inequality', 'ad hoc']",3,https://atcoder.jp/contests/abc195/tasks/abc195_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,37.596,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_c,C,Comma,C. Comma,235.0,11413,"['counting', 'math', 'digit']",3,https://atcoder.jp/contests/abc195/tasks/abc195_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,32.702,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_d,D,Shipping Center,D. Shipping Center,945.0,6706,"['greedy', 'sorting', 'query']",3,https://atcoder.jp/contests/abc195/tasks/abc195_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,46.714,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_e,E,Lucky 7 Battle,E. Lucky 7 Battle,1609.0,3475,"['dp', 'game theory', 'modular arithmetic']",3,https://atcoder.jp/contests/abc195/tasks/abc195_e,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,59.818,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_f,F,Coprime Present,F. Coprime Present,2068.0,1953,"['bitmask dp', 'number theory', 'gcd', 'prime factorization', 'combinatorics']",5,https://atcoder.jp/contests/abc195/tasks/abc195_f,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,68.877,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_a,A,Rotate,A. Rotate,-1263.0,20213,"['string', 'implementation']",2,https://atcoder.jp/contests/abc197/tasks/abc197_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,3.138,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_b,B,Visibility,B. Visibility,-170.0,14345,"['simulation', 'grid', 'implementation']",3,https://atcoder.jp/contests/abc197/tasks/abc197_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,24.709,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_c,C,ORXOR,C. ORXOR,809.0,9726,"['bitmask', 'brute force', 'implementation', 'bit manipulation', 'search']",5,https://atcoder.jp/contests/abc197/tasks/abc197_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,44.03,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_d,D,Opposite,D. Opposite,831.0,6992,"['geometry', 'trigonometry', 'coordinate geometry', 'rotation', 'angle calculation', 'polygon']",6,https://atcoder.jp/contests/abc197/tasks/abc197_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,44.464,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_e,E,Traveler,E. Traveler,1379.0,4268,['dp'],1,https://atcoder.jp/contests/abc197/tasks/abc197_e,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,55.279,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_f,F,Construct a Palindrome,F. Construct a Palindrome,1945.0,2796,"['bfs', 'graph theory', 'graph', 'shortest path']",4,https://atcoder.jp/contests/abc197/tasks/abc197_f,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,66.45,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_a,A,Square Inequality,A. Square Inequality,-1323.0,20601,"['math', 'inequality', 'conditional']",3,https://atcoder.jp/contests/abc199/tasks/abc199_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,1.954,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_b,B,Intersection,B. Intersection,-547.0,15770,"['interval', 'optimization', 'counting', 'implementation']",4,https://atcoder.jp/contests/abc199/tasks/abc199_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,17.269,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_c,C,IPFL,C. IPFL,436.0,12010,"['implementation', 'string', 'optimization', 'indexing']",4,https://atcoder.jp/contests/abc199/tasks/abc199_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,36.669,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_d,D,RGB Coloring 2,D. RGB Coloring 2,1804.0,3152,"['graph coloring', 'connected components', 'dfs', 'backtracking', 'counting']",5,https://atcoder.jp/contests/abc199/tasks/abc199_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,63.667,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_e,E,Permutation,E. Permutation,1814.0,2612,"['bitmask dp', 'dp', 'permutation']",3,https://atcoder.jp/contests/abc199/tasks/abc199_e,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,63.864,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc199,AtCoder Beginner Contest 199（Sponsored by Panasonic）,2021,,1619265600.0,2021.0,abc199_f,F,Graph Smoothing,F. Graph Smoothing,2065.0,1507,"['expectation', 'matrix', 'graph theory', 'linear algebra', 'modular arithmetic']",5,https://atcoder.jp/contests/abc199/tasks/abc199_f,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,68.818,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_a,A,Century,A. Century,-1321.0,19603,"['math', 'implementation']",2,https://atcoder.jp/contests/abc200/tasks/abc200_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,1.993,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_b,B,200th ABC-200,B. 200th ABC-200,-804.0,18099,"['simulation', 'implementation', 'math', 'string']",4,https://atcoder.jp/contests/abc200/tasks/abc200_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,12.197,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_c,C,Ringo's Favorite Numbers 2,C. Ringo's Favorite Numbers 2,138.0,14518,"['modular arithmetic', 'counting', 'combinatorics']",3,https://atcoder.jp/contests/abc200/tasks/abc200_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,30.787,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_d,D,Happy Birthday! 2,D. Happy Birthday! 2,1217.0,6338,"['pigeonhole principle', 'bitmask', 'modular arithmetic', 'constructive', 'subset sum']",5,https://atcoder.jp/contests/abc200/tasks/abc200_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,52.082,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_e,E,Patisserie ABC 2,E. Patisserie ABC 2,1955.0,2335,"['dp', 'prefix sum', 'difference array', 'combinatorics']",4,https://atcoder.jp/contests/abc200/tasks/abc200_e,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,66.647,,,,
atcoder,abc,public_sponsored_abc,kyocera,abc200,京セラプログラミングコンテスト2021（AtCoder Beginner Contest 200）,2021,,1620475200.0,2021.0,abc200_f,F,Minflip Summation,F. Minflip Summation,2556.0,768,"['combinatorics', 'modular arithmetic', 'contribution counting', 'string', 'observation']",5,https://atcoder.jp/contests/abc200/tasks/abc200_f,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,78.508,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc203,AtCoder Beginner Contest 203（Sponsored by Panasonic）,2021,,1622376000.0,2021.0,abc203_a,A,Chinchirorin,A. Chinchirorin,-1276.0,17936,"['implementation', 'conditional']",2,https://atcoder.jp/contests/abc203/tasks/abc203_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,2.881,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc203,AtCoder Beginner Contest 203（Sponsored by Panasonic）,2021,,1622376000.0,2021.0,abc203_b,B,AtCoder Condominium,B. AtCoder Condominium,-997.0,16417,"['implementation', 'math', 'sum']",3,https://atcoder.jp/contests/abc203/tasks/abc203_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,8.388,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc203,AtCoder Beginner Contest 203（Sponsored by Panasonic）,2021,,1622376000.0,2021.0,abc203_c,C,Friends and Travel costs,C. Friends and Travel costs,54.0,12933,"['greedy', 'sorting', 'simulation']",3,https://atcoder.jp/contests/abc203/tasks/abc203_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,29.13,,,,
atcoder,abc,public_sponsored_abc,panasonic,abc203,AtCoder Beginner Contest 203（Sponsored by Panasonic）,2021,,1622376000.0,2021.0,abc203_d,D,Pond,D. Pond,1622.0,5201,"['binary search', '2d prefix sum', 'median']",3,https://atcoder.jp/contests/abc203/tasks/abc203_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,60.075,,,,
