platform,category,assessment_type,sponsor,contest_id,contest_title,year,start_date,start_epoch_second,period,problem_id,problem_index,problem_name,problem_title,difficulty,solver_count,ai_tags,ai_tag_count,problem_url,source_url,parser_version,statement_lang,crawl_time,difficulty_100,clean_text_len,clean_text,contest_points,acceptance_rate
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_a,A,Health M Death,A. Health M Death,-1321.0,17162,"['divisibility', 'modular arithmetic', 'implementation']",3,https://atcoder.jp/contests/abc195/tasks/abc195_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,1.993,447.0,配点 : 100 点 問題文 魔法使いの高橋君がモンスターと戦っています。 高橋君が魔法を使うと、体力が M の倍数であるモンスターを倒すことができます。体力が M の倍数でないモンスターに対しては何の効果もありません。 高橋君の魔法によって、体力が H のモンスターを倒すことができるでしょうか？ 制約 1 \leq M \leq 1000 1 \leq H \leq 1000 M 及び H は整数 入力 入力は以下の形式で標準入力から与えられる。 M H 出力 魔法でモンスターを倒すことができるなら Yes を、できないなら No を出力せよ。 入力例 1 10 120 出力例 1 Yes 高橋君の魔法は、体力が 10 の倍数であるモンスターを倒すことができます。 120 は 10 の倍数なので、体力が 120 のモンスターは倒すことができます。 入力例 2 10 125 出力例 2 No 125 は 10 の倍数ではないので、体力が 125 のモンスターは倒すことはできません。,100.0,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_b,B,Many Oranges,B. Many Oranges,483.0,11973,"['math', 'inequality', 'ad hoc']",3,https://atcoder.jp/contests/abc195/tasks/abc195_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,37.596,1008.0,配点 : 200 点 問題文 みかんがたくさんあります。どのみかんの重さも A グラム以上 B グラム以下であることがわかっています。（みかんの重さは整数とは限りません。） この中からいくつかのみかんを選んだところ、選んだみかんの重さの合計がちょうど W キログラムになりました。 選んだみかんの個数として考えられる最小値と最大値を求めてください。ただし、このようなことが起こり得ないなら、かわりにそのことを報告してください。 制約 1 \leq A \leq B \leq 1000 1 \leq W \leq 1000 入力は全て整数 入力 入力は以下の形式で標準入力から与えられる。 A B W 出力 選んだみかんの個数としてありえる最小値と最大値を空白区切りでこの順に出力せよ。ただし、与えられた条件に合うような個数が存在しない場合、かわりに UNSATISFIABLE と出力せよ。 入力例 1 100 200 2 出力例 1 10 20 みかん 1 個の重さは 100 グラム以上 200 グラム以下です。 200 グラムのみかんを 10 個選んだとき、重さの合計はちょうど 2 キログラムになります 100 グラムのみかんを 20 個選んだとき、重さの合計はちょうど 2 キログラムになります 9 個以下または 21 個以上でちょうど 2 キログラムになることはないので、 10 個と 20 個がそれぞれ最小値と最大値になります。 入力例 2 120 150 2 出力例 2 14 16 みかん 1 個の重さは 120 グラム以上 150 グラム以下です。 例えば 140 グラムのみかん 10 個と、 150 グラムのみかん 4 個を選んだとき、重さの合計はちょうど 2 キログラムになります 例えば 120 グラムのみかん 8 個と、 130 グラムのみかん 8 個を選んだとき、重さの合計はちょうど 2 キログラムになります 13 個以下または 17 個以上でちょうど 2 キログラムになることはないので、 14 個と 16 個がそれぞれ最小値と最大値になります。 入力例 3 300 333 1 出力例 3 UNSATISFIABLE みかん 1 個の重さは 300 グラム以上 333 グラム以下です。 このようなみかんいくつかの重さの合計がちょうど 1 キログラムになることはありえません。,200.0,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_c,C,Comma,C. Comma,235.0,11413,"['counting', 'math', 'digit']",3,https://atcoder.jp/contests/abc195/tasks/abc195_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,32.702,384.0,"配点 : 300 点 問題文 高橋君は整数を書くとき、下から 3 桁ごとにコンマで区切って書きます。例えば 1234567 であれば 1,234,567 、 777 であれば 777 と書きます。 高橋君が 1 以上 N 以下の整数を 1 度ずつ書くとき、コンマは合計で何回書かれますか？ 制約 1 \leq N \leq 10^{15} N は整数 入力 入力は以下の形式で標準入力から与えられる。 N 出力 コンマが書かれる回数の合計を出力せよ。 入力例 1 1010 出力例 1 11 999 以下の数を書くときにはコンマは書かれません。 1000 以上 1010 以下の数を書くときには、それぞれ 1 回ずつコンマが書かれます。 よって、コンマは全部で 11 回書かれます。 入力例 2 27182818284590 出力例 2 107730272137364",300.0,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_d,D,Shipping Center,D. Shipping Center,945.0,6706,"['greedy', 'sorting', 'query']",3,https://atcoder.jp/contests/abc195/tasks/abc195_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,46.714,921.0,"配点 : 400 点 問題文 1 から N の番号がついた N 個の荷物と、 1 から M の番号がついた M 個の箱があります。 荷物 i の大きさは W_i で、価値は V_i です。 箱 i には大きさが X_i 以下の荷物を入れることができます。 1 つの箱に 2 つ以上の荷物を入れることはできません。 Q 個のクエリが与えられます。各クエリでは 2 つの整数 L,R が与えられるので、次の問題を解いてください。 問題： M 個の箱のうち、箱 L,L+1,\ldots,R の R-L+1 個の箱が使えなくなってしまいました。 残りの箱の中に同時に入れることができる荷物の価値の合計の最大値を求めてください。 制約 1 \leq N \leq 50 1 \leq M \leq 50 1 \leq Q \leq 50 1 \leq W_i \leq 10^6 1 \leq V_i \leq 10^6 1 \leq X_i \leq 10^6 1 \leq L \leq R \leq M 入力は全て整数 入力 入力は以下の形式で標準入力から与えられる。 N M Q W_1 V_1 \vdots W_N V_N X_1 \ldots X_M \mathrm{Query}_1 \vdots \mathrm{Query}_Q 各クエリは以下の形式で与えられる。 L R 出力 Q 行出力せよ。 i 行目には、 \mathrm{Query}_i に対応する問題の答えを出力せよ。 入力例 1 3 4 3 1 9 5 3 7 8 1 8 6 9 4 4 1 4 1 3 出力例 1 20 0 9 1 番目のクエリでは箱 4 が使えません。 箱 1 に荷物 1 を、箱 2 に荷物 3 を、箱 3 に荷物 2 を入れることで、 全ての荷物を箱の中に入れることができ、箱の中の荷物の価値の合計を 20 にすることができます。 2 番目のクエリでは全ての箱が使えません。したがって、答えは 0 です。 3 番目のクエリでは、箱 4 だけが使えます。箱 4 に荷物 1 を入れることで、箱の中の荷物の価値の合計は 9 となり、これが最大です。",400.0,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_e,E,Lucky 7 Battle,E. Lucky 7 Battle,1609.0,3475,"['dp', 'game theory', 'modular arithmetic']",3,https://atcoder.jp/contests/abc195/tasks/abc195_e,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,59.818,909.0,"配点 : 500 点 問題文 0 , \ldots , 9 からなる長さ N の文字列 S と、 A , T からなる長さ N の文字列 X が与えられます。また、空文字列で初期化された文字列 T があります。 高橋君と青木君がこれらを使ってゲームをします。ゲームは N ラウンドからなり、 i 回目 (1\leq i \leq N) のラウンドでは次の操作が行われます。 X_i が A なら青木君が、 T なら高橋君が以下の操作を行う 操作： T の末尾に S_i か 0 のどちらか一方を加える N 回の操作が終了したあと、 T は 0 , \ldots , 9 からなる長さ N の文字列となります。 T を (先頭の余計な 0 を取り除いた上で) 10 進法で表された数と解釈したとき、 7 の倍数であれば高橋君の勝ちであり、そうでなければ青木君の勝ちです。 2 人が最適に行動する時、どちらが勝つか判定してください。 制約 1 \leq N \leq 2\times 10^5 S,X の長さは N S は 0 , \ldots , 9 のみからなる X は A , T のみからなる 入力 入力は以下の形式で標準入力から与えられる。 N S X 出力 2 人が最適に行動する時、高橋君が勝つなら Takahashi 、 青木君が勝つなら Aoki と出力せよ。 入力例 1 2 35 AT 出力例 1 Takahashi 1 回目のラウンドでは青木君が 3 か 0 を T の末尾に加え、 2 回目のラウンドでは高橋君が 5 か 0 を T の末尾に加えます。 青木君が 3 を加えた場合、高橋君が 5 を追加すると T は 35 となり、これは 7 の倍数です。 青木君が 0 を加えた場合、高橋君が 0 を追加すると T は 00 となり、これは 7 の倍数です。 したがって、かならず高橋君が勝ちます。 入力例 2 5 12345 AAAAT 出力例 2 Aoki 入力例 3 5 67890 TTTTA 出力例 3 Takahashi 入力例 4 5 12345 ATATA 出力例 4 Aoki",500.0,
atcoder,abc,public_sponsored_abc,panasonic,abc195,パナソニックプログラミングコンテスト（AtCoder Beginner Contest 195）,2021,,1615636800.0,2021.0,abc195_f,F,Coprime Present,F. Coprime Present,2068.0,1953,"['bitmask dp', 'number theory', 'gcd', 'prime factorization', 'combinatorics']",5,https://atcoder.jp/contests/abc195/tasks/abc195_f,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,68.877,583.0,"配点 : 600 点 問題文 あなたは A 以上 B 以下の整数が書かれたカードを各 1 枚、合計 B-A+1 枚持っています。 この中から何枚かを選んで ( 0 枚でもよい) ペットのすぬけ君にプレゼントしようと考えています。 すぬけ君は、プレゼントされたカードたちについて、どの相異なる 2 枚に書かれた数も互いに素であるときに喜び、そうでないとき悲しみます。 すぬけ君が喜ぶようなカードの組合せは何通りありますか？ 制約 1 \leq A \leq B \leq 10^{18} B-A \leq 72 入力は全て整数 入力 入力は以下の形式で標準入力から与えられる。 A B 出力 すぬけ君が喜ぶようなカードの組合せは何通りあるか出力せよ。 なお、制約の条件下で答えは 2^{63} 未満になることが証明される。 入力例 1 2 4 出力例 1 6 あなたは 2,3,4 が書かれたカードを 1 枚ずつ持っています。すぬけ君が喜ぶようなカードの組合せは \{\} \{2\} \{3\} \{4\} \{2,3\} \{3,4\} の 6 通りです。 入力例 2 1 1 出力例 2 2 すぬけ君が喜ぶようなカードの組合せは \{\} \{1\} の 2 通りです。 入力例 3 123456789000 123456789050 出力例 3 2125824",600.0,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_a,A,Rotate,A. Rotate,-1263.0,20213,"['string', 'implementation']",2,https://atcoder.jp/contests/abc197/tasks/abc197_a,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,3.138,220.0,配点 : 100 点 問題文 長さ 3 の文字列 S が与えられます。 S の先頭の文字を S の末尾に移動して得られる文字列 S' を出力してください。 制約 S は英小文字のみからなる長さ 3 の文字列である 入力 入力は以下の形式で標準入力から与えられる。 S 出力 S' を出力せよ。 入力例 1 abc 出力例 1 bca abc の先頭の文字 a を末尾に移動すると bca となります。 入力例 2 aab 出力例 2 aba,100.0,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_b,B,Visibility,B. Visibility,-170.0,14345,"['simulation', 'grid', 'implementation']",3,https://atcoder.jp/contests/abc197/tasks/abc197_b,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,24.709,801.0,"配点 : 200 点 問題文 縦 H 行、横 W 列のマス目があり、いくつかのマスには障害物が置かれています。 上から i 番目、左から j 番目のマスをマス (i, j) と表すことにします。 H 個の文字列 S_1, S_2, S_3, \dots, S_H が与えられます。 S_i の j 文字目はマス (i, j) の状態を表し、 # なら障害物が置かれていることを、 . なら障害物が置かれていないことを表します。 このマス目上のあるマスからあるマスが 見える とは、 2 つのマスが同じ行または列にあり、 2 つのマスの間 ( 2 つのマス自身を含む) に障害物が 1 つも置かれていないことを意味します。 このマス目上のマスであって、マス (X, Y) から 見える もの (マス (X, Y) 自身を含む) の数を求めてください。 制約 1 \le H \le 100 1 \le W \le 100 1 \le X \le H 1 \le Y \le W S_i は . および # のみからなる長さ W の文字列 マス (X, Y) に障害物は置かれていない 入力 入力は以下の形式で標準入力から与えられる。 H W X Y S_1 S_2 S_3 \hspace{3pt} \vdots S_H 出力 答えを出力せよ。 入力例 1 4 4 2 2 ##.. ...# #.#. .#.# 出力例 1 4 以下がマス (2, 2) から見えるマスです。 マス (2, 1) マス (2, 2) マス (2, 3) マス (3, 2) 入力例 2 3 5 1 4 #.... ##### ....# 出力例 2 4 行または列が同じでも、間に障害物があるようなマスは見えません。 入力例 3 5 5 4 2 .#..# #.### ##... #..#. #.### 出力例 3 3",200.0,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_c,C,ORXOR,C. ORXOR,809.0,9726,"['bitmask', 'brute force', 'implementation', 'bit manipulation', 'search']",5,https://atcoder.jp/contests/abc197/tasks/abc197_c,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,44.03,1493.0,"配点 : 300 点 問題文 長さ N の数列 A が与えられます。 この数列を、 1 つ以上の空でない連続した区間に分けます。 その後、分けた各区間で、区間内の数のビット単位 \mathrm{OR} を計算します。 こうして得られた全ての値のビット単位 \mathrm{XOR} として考えられる最小値を求めてください。 ビット単位 \mathrm{OR} 演算とは 整数 A, B のビット単位 \mathrm{OR} 、 A\ \mathrm{OR}\ B は以下のように定義されます。 A\ \mathrm{OR}\ B を二進表記した際の 2^k ( k \geq 0 ) の位の数は、 A, B を二進表記した際の 2^k の位の数のうち少なくとも片方が 1 であれば 1 、そうでなければ 0 である。 例えば、 3\ \mathrm{OR}\ 5 = 7 となります (二進表記すると: 011\ \mathrm{OR}\ 101 = 111 )。 一般に k 個の整数 p_1, p_2, p_3, \dots, p_k のビット単位 \mathrm{OR} は (\dots ((p_1\ \mathrm{OR}\ p_2)\ \mathrm{OR}\ p_3)\ \mathrm{OR}\ \dots\ \mathrm{OR}\ p_k) と定義され、これは p_1, p_2, p_3, \dots p_k の順番によらないことが証明できます。 ビット単位 \mathrm{XOR} 演算とは 整数 A, B のビット単位 \mathrm{XOR} 、 A\ \mathrm{XOR}\ B は、以下のように定義されます。 A\ \mathrm{XOR}\ B を二進表記した際の 2^k ( k \geq 0 ) の位の数は、 A, B を二進表記した際の 2^k の位の数のうち一方のみが 1 であれば 1 、そうでなければ 0 である。 例えば、 3\ \mathrm{XOR}\ 5 = 6 となります (二進表記すると: 011\ \mathrm{XOR}\ 101 = 110 )。 一般に k 個以上の整数 p_1, p_2, p_3, \dots, p_k のビット単位 \mathrm{XOR} は (\dots ((p_1\ \mathrm{XOR}\ p_2)\ \mathrm{XOR}\ p_3)\ \mathrm{XOR}\ \dots\ \mathrm{XOR}\ p_k) と定義され、これは p_1, p_2, p_3, \dots p_k の順番によらないことが証明できます。 制約 1 \le N \le 20 0 \le A_i \lt 2^{30} 入力に含まれる値は全て整数である 入力 入力は以下の形式で標準入力から与えられる。 N A_1 A_2 A_3 \dots A_N 出力 答えを出力せよ。 入力例 1 3 1 5 7 出力例 1 2 [1, 5, 7] を [1, 5] と [7] の 2 つの区間に分けると、それぞれの区間内の数のビット単位 \mathrm{OR} は 5, 7 となり、その \mathrm{XOR} は 2 です。 これより小さくすることはできないので、 2 を出力します。 入力例 2 3 10 10 10 出力例 2 0 [10] と [10, 10] に分けるとよいです。 入力例 3 4 1 3 3 1 出力例 3 0 [1, 3] と [3, 1] に分けるとよいです。",300.0,
atcoder,abc,public_sponsored_abc,panasonic,abc197,AtCoder Beginner Contest 197（Sponsored by Panasonic）,2021,,1616846400.0,2021.0,abc197_d,D,Opposite,D. Opposite,831.0,6992,"['geometry', 'trigonometry', 'coordinate geometry', 'rotation', 'angle calculation', 'polygon']",6,https://atcoder.jp/contests/abc197/tasks/abc197_d,https://atcoder-tagged-backend.onrender.com/problems/all,2.3.0-sponsor-abc-kenkoooo-diff,ja,2026-06-04T18:46:05.900291+00:00,44.464,859.0,"配点 : 400 点 問題文 \mathrm{x} 軸の正の向きを右、 \mathrm{y} 軸の正の向きを上とする 2 次元座標平面上に、 p_0, p_1, p_2, \dots, p_{N - 1} の N 個の頂点からなる正 N 角形があります。 ここで N は偶数であることが保証され、頂点 p_0, p_1, p_2, \dots, p_{N - 1} はこの順に反時計回りに並んでいます。 p_i の座標を (x_i, y_i) とします。 x_0, y_0, x_{\frac{N}{2}}, y_{\frac{N}{2}} が与えられるので、 x_1, y_1 を求めてください。 制約 4 \le N \le 100 N は偶数 0 \le x_0, y_0 \le 100 0 \le x_{\frac{N}{2}}, y_{\frac{N}{2}} \le 100 (x_0, y_0) \neq (x_{\frac{N}{2}}, y_{\frac{N}{2}}) 入力に含まれる値は全て整数である 入力 入力は以下の形式で標準入力から与えられる。 N x_0 y_0 x_{\frac{N}{2}} y_{\frac{N}{2}} 出力 x_1, y_1 をこの順に空白区切りで出力せよ。 出力されたそれぞれの値について、想定解答との絶対誤差または相対誤差が 10^{-5} 以下であれば正解と判定される。 入力例 1 4 1 1 2 2 出力例 1 2.00000000000 1.00000000000 p_0 = (1, 1), p_2 = (2, 2) という情報が与えられています。 p_0, p_1, p_2, p_3 が正方形をなし、反時計回りに並んでいるという情報から残りの頂点の座標は一意に定まり、以下のようになります。 p_1 = (2, 1) p_3 = (1, 2) 入力例 2 6 5 3 7 4 出力例 2 5.93301270189 2.38397459622",400.0,
