tag,total_problems,share_2021,share_2025,delta_pp,spearman_r
simulation,43,5.0,20.45,15.45,0.9
grid,30,2.5,11.36,8.86,1.0
bfs,27,2.5,9.09,6.59,0.7
prefix sum,32,5.0,9.09,4.09,0.7
string,35,5.0,9.09,4.09,0.0
counting,45,17.5,20.45,2.95,0.1
implementation,73,20.0,20.45,0.45,-0.1
graph theory,26,7.5,6.82,-0.68,-0.8
greedy,57,15.0,13.64,-1.36,0.2
binary search,28,10.0,6.82,-3.18,0.1
graph,27,10.0,4.55,-5.45,-0.6
modular arithmetic,41,15.0,9.09,-5.91,-0.6
combinatorics,24,15.0,6.82,-8.18,-0.4
sorting,42,22.5,13.64,-8.86,-0.3
dp,69,25.0,13.64,-11.36,-1.0
