문제명,출처,레벨,완료한사람,정답률,url
기차 선로,2025 카카오 하반기 2차,Lv. 3,171명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/468381
제곱 개수 배열,2025 카카오 하반기 2차,Lv. 3,131명,10%,https://school.programmers.co.kr/learn/courses/30/lessons/468380
선인장 숨기기,2025 카카오 하반기 2차,Lv. 2,705명,15%,https://school.programmers.co.kr/learn/courses/30/lessons/468379
보물 찾기,2025 카카오 하반기 2차,Lv. 3,145명,13%,https://school.programmers.co.kr/learn/courses/30/lessons/468378
힌트 스테이지,2025 카카오 하반기 2차,Lv. 2,580명,25%,https://school.programmers.co.kr/learn/courses/30/lessons/468377
최고 속도,2025 카카오 하반기 1차,Lv. 3,53명,6%,https://school.programmers.co.kr/learn/courses/30/lessons/468376
발전소 회로 복구,2025 카카오 하반기 1차,Lv. 3,101명,13%,https://school.programmers.co.kr/learn/courses/30/lessons/468375
카카오 앱 정리하기,2025 카카오 하반기 1차,Lv. 3,48명,5%,https://school.programmers.co.kr/learn/courses/30/lessons/468374
바이러스 파이프,2025 카카오 하반기 1차,Lv. 2,784명,36%,https://school.programmers.co.kr/learn/courses/30/lessons/468373
리프 노드 수 최대화,2025 카카오 하반기 1차,Lv. 2,281명,17%,https://school.programmers.co.kr/learn/courses/30/lessons/468372
노란불 신호등,2025 카카오 하반기 1차,Lv. 1,"2,489명",30%,https://school.programmers.co.kr/learn/courses/30/lessons/468371
중요한 단어를 스포 방지,2025 카카오 하반기 1차,Lv. 1,"1,520명",27%,https://school.programmers.co.kr/learn/courses/30/lessons/468370
숫자 야구,연습문제,Lv. 3,467명,5%,https://school.programmers.co.kr/learn/courses/30/lessons/451808
문자열과 알파벳과 쿼리,2025 프로그래머스 코드챌린지 본선,Lv. 5,84명,0%,https://school.programmers.co.kr/learn/courses/30/lessons/389632
눈사람 만들기,2025 프로그래머스 코드챌린지 본선,Lv. 5,68명,1%,https://school.programmers.co.kr/learn/courses/30/lessons/389631
격자 뒤집기 미로,2025 프로그래머스 코드챌린지 본선,Lv. 4,117명,4%,https://school.programmers.co.kr/learn/courses/30/lessons/389630
가장 큰 삼각형 덩어리,2025 프로그래머스 코드챌린지 본선,Lv. 4,125명,6%,https://school.programmers.co.kr/learn/courses/30/lessons/389629
봉인된 주문,2025 프로그래머스 코드챌린지 2차 예선,Lv. 3,"2,587명",29%,https://school.programmers.co.kr/learn/courses/30/lessons/389481
완전범죄,2025 프로그래머스 코드챌린지 2차 예선,Lv. 2,"5,448명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/389480
서버 증설 횟수,2025 프로그래머스 코드챌린지 2차 예선,Lv. 2,"8,672명",54%,https://school.programmers.co.kr/learn/courses/30/lessons/389479
택배 상자 꺼내기,2025 프로그래머스 코드챌린지 2차 예선,Lv. 1,"11,282명",38%,https://school.programmers.co.kr/learn/courses/30/lessons/389478
홀짝트리,2025 프로그래머스 코드챌린지 1차 예선,Lv. 3,"1,216명",20%,https://school.programmers.co.kr/learn/courses/30/lessons/388354
지게차와 크레인,2025 프로그래머스 코드챌린지 1차 예선,Lv. 2,"4,531명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/388353
비밀 코드 해독,2025 프로그래머스 코드챌린지 1차 예선,Lv. 2,"5,081명",45%,https://school.programmers.co.kr/learn/courses/30/lessons/388352
유연근무제,2025 프로그래머스 코드챌린지 1차 예선,Lv. 1,"11,514명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/388351
[PCCP 기출문제] 1번 / 동영상 재생기,PCCP 기출문제,Lv. 1,"16,243명",43%,https://school.programmers.co.kr/learn/courses/30/lessons/340213
[PCCP 기출문제] 2번 / 퍼즐 게임 챌린지,PCCP 기출문제,Lv. 2,"9,306명",46%,https://school.programmers.co.kr/learn/courses/30/lessons/340212
