연도,기업명,문제명,출처,레벨,완료한사람,정답률,url,지문글자수
2021,카카오,시험장 나누기,2021 카카오 채용연계형 인턴십,Lv. 5,"1,107명",4%,https://school.programmers.co.kr/learn/courses/30/lessons/81305,2267
2021,카카오,미로 탈출,2021 카카오 채용연계형 인턴십,Lv. 4,"1,100명",10%,https://school.programmers.co.kr/learn/courses/30/lessons/81304,1669
2021,카카오,표 편집,2021 카카오 채용연계형 인턴십,Lv. 3,"7,087명",41%,https://school.programmers.co.kr/learn/courses/30/lessons/81303,2420
2021,카카오,거리두기 확인하기,2021 카카오 채용연계형 인턴십,Lv. 2,"16,927명",49%,https://school.programmers.co.kr/learn/courses/30/lessons/81302,2451
2021,카카오,숫자 문자열과 영단어,2021 카카오 채용연계형 인턴십,Lv. 1,"60,445명",73%,https://school.programmers.co.kr/learn/courses/30/lessons/81301,920
2021,카카오,매출 하락 최소화,2021 KAKAO BLIND RECRUITMENT,Lv. 4,"1,903명",14%,https://school.programmers.co.kr/learn/courses/30/lessons/72416,2991
2021,카카오,카드 짝 맞추기,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"2,533명",21%,https://school.programmers.co.kr/learn/courses/30/lessons/72415,2338
2021,카카오,광고 삽입,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"5,454명",37%,https://school.programmers.co.kr/learn/courses/30/lessons/72414,3493
2021,카카오,합승 택시 요금,2021 KAKAO BLIND RECRUITMENT,Lv. 3,"12,583명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/72413,2384
2021,카카오,순위 검색,2021 KAKAO BLIND RECRUITMENT,Lv. 2,"10,964명",36%,https://school.programmers.co.kr/learn/courses/30/lessons/72412,3603
2021,카카오,메뉴 리뉴얼,2021 KAKAO BLIND RECRUITMENT,Lv. 2,"19,729명",52%,https://school.programmers.co.kr/learn/courses/30/lessons/72411,2174
2021,카카오,신규 아이디 추천,2021 KAKAO BLIND RECRUITMENT,Lv. 1,"46,719명",53%,https://school.programmers.co.kr/learn/courses/30/lessons/72410,2808
2022,카카오,행렬과 연산,2022 KAKAO TECH INTERNSHIP,Lv. 4,"1,304명",14%,https://school.programmers.co.kr/learn/courses/30/lessons/118670,2327
2022,카카오,등산코스 정하기,2022 KAKAO TECH INTERNSHIP,Lv. 3,"4,433명",32%,https://school.programmers.co.kr/learn/courses/30/lessons/118669,3049
2022,카카오,코딩 테스트 공부,2022 KAKAO TECH INTERNSHIP,Lv. 3,"3,939명",28%,https://school.programmers.co.kr/learn/courses/30/lessons/118668,2147
2022,카카오,두 큐 합 같게 만들기,2022 KAKAO TECH INTERNSHIP,Lv. 2,"16,986명",57%,https://school.programmers.co.kr/learn/courses/30/lessons/118667,1841
2022,카카오,성격 유형 검사하기,2022 KAKAO TECH INTERNSHIP,Lv. 1,"27,443명",55%,https://school.programmers.co.kr/learn/courses/30/lessons/118666,3695
2022,카카오,사라지는 발판,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"2,223명",17%,https://school.programmers.co.kr/learn/courses/30/lessons/92345,3402
2022,카카오,파괴되지 않은 건물,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"7,103명",44%,https://school.programmers.co.kr/learn/courses/30/lessons/92344,2319
2022,카카오,양과 늑대,2022 KAKAO BLIND RECRUITMENT,Lv. 3,"8,659명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/92343,1807
2022,카카오,양궁대회,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"10,529명",39%,https://school.programmers.co.kr/learn/courses/30/lessons/92342,3864
2022,카카오,주차 요금 계산,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"22,253명",61%,https://school.programmers.co.kr/learn/courses/30/lessons/92341,2922
2022,카카오,k진수에서 소수 개수 구하기,2022 KAKAO BLIND RECRUITMENT,Lv. 2,"19,828명",63%,https://school.programmers.co.kr/learn/courses/30/lessons/92335,878
2022,카카오,신고 결과 받기,2022 KAKAO BLIND RECRUITMENT,Lv. 1,"40,826명",42%,https://school.programmers.co.kr/learn/courses/30/lessons/92334,2176
2023,카카오,개인정보 수집 유효기간,2023 KAKAO BLIND RECRUITMENT,Lv. 1,"26,515명",51%,https://school.programmers.co.kr/learn/courses/30/lessons/150370,2563
2023,카카오,택배 배달과 수거하기,2023 KAKAO BLIND RECRUITMENT,Lv. 2,"9,927명",38%,https://school.programmers.co.kr/learn/courses/30/lessons/150369,3088
2023,카카오,이모티콘 할인행사,2023 KAKAO BLIND RECRUITMENT,Lv. 2,"10,434명",44%,https://school.programmers.co.kr/learn/courses/30/lessons/150368,2468
2023,카카오,표현 가능한 이진트리,2023 KAKAO BLIND RECRUITMENT,Lv. 3,"5,029명",35%,https://school.programmers.co.kr/learn/courses/30/lessons/150367,1232
2023,카카오,표 병합,2023 KAKAO BLIND RECRUITMENT,Lv. 3,"3,109명",31%,https://school.programmers.co.kr/learn/courses/30/lessons/150366,3627
2023,카카오,미로 탈출 명령어,2023 KAKAO BLIND RECRUITMENT,Lv. 3,"5,469명",40%,https://school.programmers.co.kr/learn/courses/30/lessons/150365,1702
2023,카카오,"1,2,3 떨어트리기",2023 KAKAO BLIND RECRUITMENT,Lv. 4,967명,8%,https://school.programmers.co.kr/learn/courses/30/lessons/150364,2857
2023,현대모비스,재밌는 레이싱 경기장 설계하기,2023 현대모비스 알고리즘 경진대회 본선,Lv. 5,139명,3%,https://school.programmers.co.kr/learn/courses/30/lessons/214292,972
